  Temperature (K)            <q^2>, 10^4 : 3·10^4      <E>/N, 10^4 : 3·10^4      <q^2>, 3·10^4 : 10^5      <E>/N, 3·10^4 : 10^5      <q^2>, 10^5 : 3·10^5      <E>/N, 10^5 : 3·10^5      <q^2>, 3·10^5 : 10^6      <E>/N, 3·10^5 : 10^6
  0.20000000000000001        9.6984551581872936E-009   1.5373040414901672E-003   1.3884240096168859E-008   1.5400475193413773E-003   1.0628375457599759E-008   1.5337371781759430E-003   1.1110015579366257E-008   1.5394461974227202E-003
  0.20352250489236792        1.5834694554184985E-008   1.5508380891552296E-003   1.3446285655455930E-008   1.5406089096629460E-003   9.9848199170082812E-009   1.5281771192792804E-003   1.0926324674593550E-008   1.5381241483231340E-003
  0.20704500978473583        1.2525555578575678E-008   1.5789483765676349E-003   1.0645956665809665E-008   1.5150368229619093E-003   1.1445599375292659E-008   1.5411703831865451E-003   1.1448716811303581E-008   1.5415652814595629E-003
  0.21056751467710372        1.3554327260667476E-008   1.5317939901035623E-003   1.0073816935930933E-008   1.5274282619523417E-003   1.1995044769719242E-008   1.5264802309800870E-003   1.1357950279489159E-008   1.5405422655366627E-003
  0.21409001956947163        9.4655954252476106E-009   1.5814839491689542E-003   1.1409857376877751E-008   1.5496567098556885E-003   1.1497401283122600E-008   1.5377147712861189E-003   1.1341831746644208E-008   1.5397689589033169E-003
  0.21761252446183954        1.1620762432622409E-008   1.5446488443680148E-003   1.0877074341156654E-008   1.5614238194954981E-003   1.1394912144169212E-008   1.5305599784944206E-003   1.1409054942695158E-008   1.5350783345156483E-003
  0.22113502935420745        9.7514267476542716E-009   1.5621118811026647E-003   9.5493659111005926E-009   1.5312910586861626E-003   1.2063377653248609E-008   1.5282300398655935E-003   1.1230434756726026E-008   1.5298319081883944E-003
  0.22465753424657536        1.3073772259023058E-008   1.5550237459673740E-003   1.1662545148283243E-008   1.5359918960436646E-003   1.1100864503532648E-008   1.5350516030855942E-003   1.1298340645485691E-008   1.5276716246635520E-003
  0.22818003913894325        9.6441163722870648E-009   1.5224447749766416E-003   1.0944279243371316E-008   1.5318884542544506E-003   1.3071391731500625E-008   1.5432902074418962E-003   1.1553813237696886E-008   1.5321274945379367E-003
  0.23170254403131116        1.0036618105773029E-008   1.5319892430914449E-003   1.0643112805805035E-008   1.5068411260560554E-003   1.1542360880412161E-008   1.5395891021937132E-003   1.0841584298759699E-008   1.5278656778391451E-003
  0.23522504892367907        9.4432257644567768E-009   1.5410626497257432E-003   1.2426628797714199E-008   1.5216323004902472E-003   1.1739757610484958E-008   1.5298891220998484E-003   1.1177677827488099E-008   1.5219208864877666E-003
  0.23874755381604698        1.0081444695212137E-008   1.5132938239859350E-003   1.0894403593348605E-008   1.5190588532547865E-003   1.0876459418796004E-008   1.5137354775215499E-003   1.1413204317380276E-008   1.5264422519415217E-003
  0.24227005870841489        1.7474806666940167E-008   1.5300086290198102E-003   1.0682244984699147E-008   1.5402159795131801E-003   1.0563340038061142E-008   1.5265554609126411E-003   1.1408822112051505E-008   1.5261302688549872E-003
  0.24579256360078280        1.5415256142035416E-008   1.5154544313297211E-003   1.0578893125057220E-008   1.5367027348506131E-003   1.0193377966061235E-008   1.5240224169101567E-003   1.1658102240679520E-008   1.5230916886340960E-003
  0.24931506849315069        9.6843177652817735E-009   1.5338511489073874E-003   1.1887168511748314E-008   1.5154719466310260E-003   1.1581811122596263E-008   1.5242921143479179E-003   1.1946764009605561E-008   1.5253659936707534E-003
  0.25283757338551860        7.9833799558898789E-009   1.5242981014313406E-003   1.1288053688726255E-008   1.5109564527769439E-003   1.0257057147100568E-008   1.5214994850801303E-003   1.1384800641930530E-008   1.5162690848810599E-003
  0.25636007827788654        1.1718066093669660E-008   1.5012964941742738E-003   1.0063181564744029E-008   1.5350154642448095E-003   1.0374313569627703E-008   1.5073814612638671E-003   1.0413478594273328E-008   1.5247999574847719E-003
  0.25988258317025442        1.0533666732473888E-008   1.5197905034863802E-003   9.2155948680426392E-009   1.5263670175169994E-003   1.0855670552700758E-008   1.5020541258098092E-003   1.0433403076604008E-008   1.5219449855195957E-003
  0.26340508806262231        9.7141342832409452E-009   1.4706209108446618E-003   1.1358559796852725E-008   1.5101878213130736E-003   1.2136393343098462E-008   1.5274455945182125E-003   1.0935739347977298E-008   1.5269206430164298E-003
  0.26692759295499024        1.0529681500317394E-008   1.4573984678419515E-003   9.6166456517364305E-009   1.5068742416499716E-003   1.1163513408973813E-008   1.5181733390549198E-003   1.1388632369094662E-008   1.5215194431615860E-003
  0.27045009784735813        7.1049707921697524E-009   1.5175962850436575E-003   1.1621508747339249E-008   1.5261553150984193E-003   1.0777244460768997E-008   1.5133796071691904E-003   1.1431533909801926E-008   1.5217427857685834E-003
  0.27397260273972601        9.9378308911492734E-009   1.5358844683433454E-003   1.2172652142388481E-008   1.5139552772577320E-003   1.1019536759704351E-008   1.4999779774050694E-003   1.1043544093679104E-008   1.5213791269434816E-003
  0.27749510763209395        1.2326526685037475E-008   1.5243731010570259E-003   1.0435219987162522E-008   1.4874565025591957E-003   1.0557295172475279E-008   1.5170012358139502E-003   1.0852943108017956E-008   1.5175581864272578E-003
